application_for,open_date,poll_result
Appeal - Front Yard Parking,2016-06-01,In Favour
Permit Parking,2016-05-31,Opposed
Traffic Calming,2016-06-06,Response Rate Not Met
Traffic Calming,2016-09-06,Response Rate Not Met
Front Yard Parking,2016-06-06,In Favour
Boulevard Cafe,2016-09-08,Opposed
Appeal - Front Yard Parking,2016-06-29,In Favour
Front Yard Parking,2016-06-13,In Favour
Boulevard Cafe,2016-06-08,In Favour
Boulevard Cafe,2016-06-15,Response Rate Not Met
Boulevard Cafe,2016-06-20,In Favour
Boulevard Cafe,2016-06-30,In Favour
Appeal - Front Yard Parking,2016-06-22,In Favour
Front Yard Parking,2016-06-23,In Favour
Front Yard Parking,2016-06-20,Opposed
Appeal - Front Yard Parking,2016-06-21,In Favour
Front Yard Parking,2016-06-22,In Favour
Front Yard Parking,2016-06-22,In Favour
Front Yard Parking,2016-06-27,In Favour
Boulevard Cafe,2016-06-27,Opposed
Front Yard Parking,2016-06-27,In Favour
Traffic Calming,2016-09-06,Opposed
Traffic Calming,2016-09-06,In Favour
Boulevard Cafe,2016-09-12,Opposed
Traffic Calming,2016-09-29,Response Rate Not Met
Traffic Calming,2016-09-07,Opposed
Traffic Calming,2016-09-07,Response Rate Not Met
Traffic Calming,2016-09-07,In Favour
Traffic Calming,2016-09-08,Response Rate Not Met
Front Yard Parking,2016-09-20,In Favour
Front Yard Parking,2016-09-14,In Favour
Appeal - Front Yard Parking,2016-09-13,In Favour
Appeal - Front Yard Parking,2016-09-15,In Favour
Front Yard Parking,2016-09-14,In Favour
Appeal - Front Yard Parking,2016-09-20,In Favour
Front Yard Parking,2016-09-15,In Favour
Appeal - Front Yard Parking,2016-09-19,In Favour
Front Yard Parking,2016-09-15,In Favour
Boulevard Cafe,2016-09-19,Response Rate Not Met
Traffic Calming,2016-09-28,Response Rate Not Met
Boulevard Cafe,2016-09-21,Response Rate Not Met
Boulevard Cafe,2016-09-26,Opposed
Boulevard Cafe,2016-09-29,In Favour
Boulevard Cafe,2016-10-03,In Favour
Boulevard Cafe,2016-10-03,In Favour
Boulevard Cafe,2016-10-04,Response Rate Not Met
Appeal - Front Yard Parking,2016-10-03,In Favour
Traffic Calming,2016-10-11,Response Rate Not Met
Appeal - Front Yard Parking,2016-10-03,In Favour
Appeal - Front Yard Parking,2016-09-29,In Favour
Front Yard Parking,2016-10-03,In Favour
Front Yard Parking,2016-10-04,In Favour
Appeal - Front Yard Parking,2016-10-04,In Favour
Front Yard Parking,2016-10-06,In Favour
Front Yard Parking,2016-10-05,In Favour
Front Yard Parking,2016-10-04,In Favour
Front Yard Parking,2016-10-05,In Favour
Appeal - Front Yard Parking,2016-10-05,In Favour
Appeal - Front Yard Parking,2016-10-06,In Favour
Front Yard Parking,2016-10-06,In Favour
Front Yard Parking,2016-10-06,In Favour
Appeal - Front Yard Parking,2016-10-11,In Favour
Appeal - Front Yard Parking,2016-10-11,In Favour
Appeal - Front Yard Parking,2016-10-11,Response Rate Not Met
Traffic Calming,2016-10-12,In Favour
Front Yard Parking,2016-10-11,In Favour
Front Yard Parking,2016-10-11,In Favour
Appeal - Front Yard Parking,2016-10-24,In Favour
Appeal - Front Yard Parking,2016-10-24,In Favour
Traffic Calming – Island,2016-10-12,Opposed
Front Yard Parking,2016-10-17,In Favour
Front Yard Parking,2016-10-17,In Favour
Boulevard Cafe,2016-10-25,Opposed
Traffic Calming,2016-09-26,Response Rate Not Met
Appeal - Front Yard Parking,2016-10-25,In Favour
Appeal - Front Yard Parking,2016-10-17,In Favour
Appeal - Front Yard Parking,2016-10-24,In Favour
Appeal - Front Yard Parking,2016-10-25,In Favour
Appeal - Front Yard Parking,2016-10-25,In Favour
Appeal - Front Yard Parking,2016-11-07,In Favour
Appeal - Front Yard Parking,2016-10-26,In Favour
Appeal - Front Yard Parking,2016-10-27,In Favour
Appeal - Front Yard Parking,2016-10-27,In Favour
Appeal - Front Yard Parking,2016-11-03,In Favour
Boulevard Cafe,2016-11-07,Response Rate Not Met
Front Yard Parking,2016-11-03,In Favour
Permit Parking,2016-11-03,Response Rate Not Met
Front Yard Parking,2016-11-08,In Favour
Appeal - Front Yard Parking,2016-11-07,Opposed
Front Yard Parking,2016-11-07,In Favour
Front Yard Parking,2016-11-10,In Favour
Front Yard Parking,2016-11-09,In Favour
Front Yard Parking,2016-11-08,In Favour
Front Yard Parking,2016-11-09,In Favour
Appeal - Front Yard Parking,2016-11-08,In Favour
Appeal - Front Yard Parking,2016-11-08,In Favour
Appeal - Front Yard Parking,2016-11-09,In Favour
Appeal - Front Yard Parking,2016-11-10,Opposed
Commercial Boulevard Parking,2016-11-14,Opposed
Front Yard Parking,2016-11-17,Opposed
Front Yard Parking,2016-11-09,In Favour
Front Yard Parking,2016-11-10,In Favour
Front Yard Parking,2016-11-16,In Favour
Boulevard Cafe,2016-11-17,Response Rate Not Met
Appeal - Front Yard Parking,2016-11-16,In Favour
Appeal - Front Yard Parking,2016-11-17,In Favour
Front Yard Parking,2016-11-21,In Favour
Front Yard Parking,2016-11-24,In Favour
Front Yard Parking,2016-11-24,In Favour
Commercial Boulevard Parking,2016-12-22,Response Rate Not Met
Front Yard Parking,2016-11-23,In Favour
Front Yard Parking,2016-11-30,In Favour
Front Yard Parking,2016-11-23,In Favour
Front Yard Parking,2016-11-24,In Favour
Traffic Calming,2016-12-05,In Favour
Traffic Calming,2016-12-06,Response Rate Not Met
Appeal - Front Yard Parking,2016-12-08,In Favour
Appeal - Front Yard Parking,2016-12-12,In Favour
Appeal - Front Yard Parking,2016-12-12,Opposed
Appeal - Front Yard Parking,2016-12-14,In Favour
Appeal - Front Yard Parking,2016-12-22,In Favour
Appeal - Front Yard Parking,2016-12-19,In Favour
Appeal - Front Yard Parking,2016-12-12,Opposed
Appeal - Front Yard Parking,2016-12-19,Opposed
Front Yard Parking,2016-12-19,In Favour
Front Yard Parking,2016-12-20,In Favour
Front Yard Parking,2016-12-20,In Favour
Permit Parking,2017-01-12,Opposed
Boulevard Cafe,2017-02-09,In Favour
Permit Parking,2016-12-21,In Favour
Permit Parking,2017-01-09,In Favour
Front Yard Parking,2016-12-21,In Favour
Boulevard Cafe,2017-01-10,In Favour
Front Yard Parking,2017-01-11,In Favour
Front Yard Parking,2017-01-11,In Favour
Front Yard Parking,2017-01-12,In Favour
Front Yard Parking,2017-01-11,In Favour
Front Yard Parking,2017-01-19,In Favour
Front Yard Parking,2017-01-12,In Favour
Permit Parking,2017-01-17,Opposed
Permit Parking,2017-01-19,Opposed
Appeal - Front Yard Parking,2017-01-31,In Favour
Front Yard Parking,2017-01-25,In Favour
Front Yard Parking,2017-01-24,In Favour
Front Yard Parking,2017-01-26,In Favour
Appeal - Front Yard Parking,2017-01-26,Opposed
Front Yard Parking,2017-01-26,In Favour
Permit Parking,2017-02-01,Opposed
Permit Parking,2017-02-01,In Favour
Permit Parking,2017-01-31,Opposed
Front Yard Parking,2017-02-07,In Favour
Appeal - Front Yard Parking,2017-02-06,In Favour
Front Yard Parking,2017-02-06,In Favour
Front Yard Parking,2017-02-13,In Favour
Appeal - Front Yard Parking,2017-02-21,In Favour
Appeal - Front Yard Parking,2017-02-21,In Favour
Front Yard Parking,2017-02-14,In Favour
Appeal - Front Yard Parking,2017-02-16,In Favour
Appeal - Front Yard Parking,2017-02-21,In Favour
Appeal - Front Yard Parking,2017-02-13,In Favour
Boulevard Cafe,2017-02-27,Opposed
Boulevard Cafe,2017-03-06,Opposed
Front Yard Parking,2017-03-13,In Favour
Front Yard Parking,2017-03-20,In Favour
Front Yard Parking,2017-03-14,In Favour
Front Yard Parking,2017-03-14,In Favour
Front Yard Parking,2017-03-15,In Favour
Front Yard Parking,2017-03-22,In Favour
Front Yard Parking,2017-03-13,In Favour
Front Yard Parking,2017-03-15,In Favour
Front Yard Parking,2017-03-23,In Favour
Appeal - Front Yard Parking,2017-03-20,In Favour
Appeal - Front Yard Parking,2017-03-22,In Favour
Appeal - Front Yard Parking,2017-03-21,In Favour
Permit Parking,2017-03-22,In Favour
Front Yard Parking,2017-03-23,In Favour
Appeal - Front Yard Parking,2017-03-23,In Favour
Traffic Calming,2017-04-04,Opposed
Traffic Calming,2017-03-30,Response Rate Not Met
Traffic Calming,2017-03-30,Response Rate Not Met
Boulevard Cafe,2017-03-27,In Favour
Front Yard Parking,2017-04-03,In Favour
Front Yard Parking,2017-04-03,In Favour
Front Yard Parking,2017-03-30,In Favour
Traffic Calming,2017-04-03,Response Rate Not Met
Front Yard Parking,2017-04-05,In Favour
Front Yard Parking,2017-04-05,In Favour
Appeal - Front Yard Parking,2017-04-06,In Favour
Front Yard Parking,2017-04-11,In Favour
Boulevard Cafe,2017-04-10,Response Rate Not Met
Boulevard Cafe,2017-04-10,Response Rate Not Met
Traffic Calming,2017-04-12,Opposed
Traffic Calming,2017-04-20,Response Rate Not Met
Traffic Calming,2017-04-13,In Favour
Front Yard Parking,2017-04-13,In Favour
Appeal - Front Yard Parking,2017-04-18,In Favour
Appeal - Front Yard Parking,2017-04-18,In Favour
Appeal - Front Yard Parking,2017-04-13,Opposed
Appeal - Front Yard Parking,2017-04-20,In Favour
Appeal - Front Yard Parking,2017-04-13,Opposed
Appeal - Front Yard Parking,2017-04-18,In Favour
Appeal - Front Yard Parking,2017-04-19,In Favour
Appeal - Front Yard Parking,2017-04-24,In Favour
Appeal - Front Yard Parking,2017-04-24,In Favour
Appeal - Front Yard Parking,2017-04-20,In Favour
Front Yard Parking,2017-04-25,In Favour
Front Yard Parking,2017-04-25,In Favour
Front Yard Parking,2017-04-26,In Favour
Appeal - Front Yard Parking,2017-05-10,In Favour
Traffic Calming,2017-05-25,Response Rate Not Met
Front Yard Parking,2017-05-25,In Favour
Front Yard Parking,2017-05-23,In Favour
Front Yard Parking,2017-05-25,Opposed
Traffic Calming,2017-05-29,Response Rate Not Met
Traffic Calming,2017-05-23,In Favour
Traffic Calming,2017-05-31,In Favour
Front Yard Parking,2017-06-01,In Favour
Boulevard Cafe,2017-06-05,Response Rate Not Met
Appeal - Front Yard Parking,2017-06-08,In Favour
Boulevard Cafe,2017-06-06,Opposed
Boulevard Cafe,2017-06-13,In Favour
Boulevard Cafe,2017-06-06,In Favour
Boulevard Cafe,2017-06-07,Response Rate Not Met
Boulevard Cafe,2017-06-12,In Favour
Traffic Calming,2017-06-12,In Favour
Boulevard Cafe,2017-06-08,Response Rate Not Met
Traffic Calming,2017-06-12,In Favour
Boulevard Cafe,2017-06-15,In Favour
Boulevard Cafe,2017-06-13,Response Rate Not Met
Traffic Calming,2017-06-15,Response Rate Not Met
Traffic Calming,2017-06-19,Response Rate Not Met
Traffic Calming,2017-06-20,Response Rate Not Met
Appeal - Front Yard Parking,2017-06-26,Opposed
Appeal - Front Yard Parking,2017-06-26,Opposed
Appeal - Front Yard Parking,2017-06-22,Opposed
Boulevard Cafe,2017-06-21,Response Rate Not Met
Boulevard Cafe,2017-06-21,Response Rate Not Met
Traffic Calming,2017-06-22,Response Rate Not Met
Front Yard Parking,2017-06-20,In Favour
Front Yard Parking,2017-06-22,In Favour
Permit Parking,2017-06-29,Opposed
Traffic Calming,2017-06-29,Response Rate Not Met
Permit Parking,2017-06-28,Opposed
Front Yard Parking,2017-06-28,Opposed
Traffic Calming,2017-07-24,In Favour
Traffic Calming,2017-07-26,Response Rate Not Met
Traffic Calming,2017-07-26,Response Rate Not Met
Traffic Calming,2017-07-25,In Favour
Boulevard Cafe,2017-07-12,In Favour
Traffic Calming,2017-07-27,Response Rate Not Met
Traffic Calming,2017-07-26,Response Rate Not Met
Traffic Calming,2017-07-25,In Favour
Traffic Calming,2017-07-24,In Favour
Front Yard Parking,2017-07-31,In Favour
Front Yard Parking,2017-07-27,In Favour
Front Yard Parking,2017-07-27,Opposed
Appeal - Front Yard Parking,2017-07-31,In Favour
Traffic Calming,2017-08-09,Response Rate Not Met
Permit Parking,2017-08-31,Response Rate Not Met
Front Yard Parking,2017-08-01,In Favour
Front Yard Parking,2017-08-01,In Favour
Appeal - Front Yard Parking,2017-08-08,In Favour
Appeal - Front Yard Parking,2017-08-01,Opposed
Appeal - Front Yard Parking,2017-08-03,In Favour
Appeal - Front Yard Parking,2017-08-03,In Favour
Appeal - Front Yard Parking,2017-08-08,Opposed
Appeal - Front Yard Parking,2017-08-08,Opposed
Proposed Business Improvement Area,2017-08-08,In Favour
Front Yard Parking,2017-08-09,In Favour
Boulevard Cafe,2017-08-10,Response Rate Not Met
Front Yard Parking,2017-08-21,In Favour
Front Yard Parking,2017-08-22,In Favour
Permit Parking,2017-09-11,Response Rate Not Met
Boulevard Cafe,2017-09-06,Opposed
Traffic Calming,2017-09-14,Opposed
Traffic Calming,2017-09-14,Response Rate Not Met
Front Yard Parking,2017-09-07,In Favour
Front Yard Parking,2017-09-13,In Favour
Traffic Calming – Island,2017-09-14,Opposed
Traffic Calming – Island,2017-09-18,Opposed
Boulevard Cafe,2017-09-19,Response Rate Not Met
Front Yard Parking,2017-09-18,In Favour
Appeal - Front Yard Parking,2017-09-18,Opposed
Appeal - Front Yard Parking,2017-09-19,In Favour
Front Yard Parking,2017-09-19,In Favour
Traffic Calming,2017-09-20,Opposed
Appeal - Front Yard Parking,2017-09-25,In Favour
Front Yard Parking,2017-09-20,In Favour
Traffic Calming,2017-10-26,Response Rate Not Met
Traffic Calming,2017-09-26,Opposed
Traffic Calming,2017-09-28,Response Rate Not Met
Traffic Calming,2017-09-28,In Favour
Business Improvement Area,2017-10-23,In Favour
Traffic Calming,2017-10-12,Response Rate Not Met
Front Yard Parking,2017-10-10,Opposed
Front Yard Parking,2017-10-05,In Favour
Traffic Calming,2017-10-10,Response Rate Not Met
Permit Parking,2017-10-16,In Favour
Boulevard Cafe,2017-10-11,In Favour
Boulevard Cafe,2017-10-16,Response Rate Not Met
Appeal - Front Yard Parking,2017-10-19,In Favour
Appeal - Front Yard Parking,2017-10-19,In Favour
Traffic Calming,2017-10-31,In Favour
Traffic Calming,2017-11-01,Response Rate Not Met
Traffic Calming,2017-10-23,In Favour
Traffic Calming,2017-10-25,Opposed
Traffic Calming,2017-10-26,Opposed
Boulevard Cafe,2017-10-30,In Favour
Front Yard Parking,2017-10-23,In Favour
Appeal - Front Yard Parking,2017-10-30,Opposed
Boulevard Cafe,2017-11-02,In Favour
Appeal - Front Yard Parking,2017-10-31,In Favour
Traffic Calming,2017-11-07,In Favour
Traffic Calming,2017-11-08,Response Rate Not Met
Traffic Calming,2017-11-09,Opposed
Traffic Calming,2017-11-09,Response Rate Not Met
Traffic Calming,2017-11-13,Opposed
Front Yard Parking,2017-11-09,Response Rate Not Met
Front Yard Parking,2017-11-13,In Favour
Traffic Calming,2017-11-30,Response Rate Not Met
Traffic Calming,2017-11-30,Response Rate Not Met
Traffic Calming,2017-11-20,Opposed
Traffic Calming,2017-11-23,In Favour
Front Yard Parking,2017-12-04,Opposed
Appeal - Front Yard Parking,2017-12-04,In Favour
Traffic Calming,2017-12-04,Response Rate Not Met
Traffic Calming,2017-12-11,Response Rate Not Met
Traffic Calming,2017-12-12,In Favour
Front Yard Parking,2017-12-07,In Favour
Front Yard Parking,2017-12-07,In Favour
Front Yard Parking,2017-12-11,In Favour
Appeal - Front Yard Parking,2017-12-13,In Favour
Boulevard Cafe,2017-12-18,In Favour
Appeal - Front Yard Parking,2018-01-15,In Favour
Appeal - Front Yard Parking,2018-01-16,In Favour
Front Yard Parking,2018-01-18,In Favour
Boulevard Cafe,2018-01-22,Opposed
Appeal - Front Yard Parking,2018-01-18,In Favour
Appeal - Front Yard Parking,2018-01-11,Response Rate Not Met
Front Yard Parking,2018-01-15,In Favour
Front Yard Parking,2018-01-15,In Favour
Front Yard Parking,2018-01-17,In Favour
Front Yard Parking,2018-01-18,In Favour
Permit Parking,2018-02-01,Opposed
Permit Parking,2018-02-01,Response Rate Not Met
Permit Parking,2018-02-01,Response Rate Not Met
Front Yard Parking,2018-01-23,In Favour
Front Yard Parking,2018-02-13,In Favour
Front Yard Parking,2018-01-25,In Favour
Appeal - Front Yard Parking,2018-01-29,In Favour
Appeal - Front Yard Parking,2018-02-01,In Favour
Appeal - Front Yard Parking,2018-01-29,In Favour
Appeal - Front Yard Parking,2018-01-29,Response Rate Not Met
Appeal - Front Yard Parking,2018-01-30,In Favour
Boulevard Cafe,2018-02-08,In Favour
Traffic Calming,2018-02-12,Response Rate Not Met
Traffic Calming,2018-02-05,Response Rate Not Met
Appeal - Front Yard Parking,2018-02-05,Opposed
Appeal - Front Yard Parking,2018-01-31,Opposed
Traffic Calming,2018-02-14,In Favour
Front Yard Parking,2018-02-14,In Favour
